year,zone_id,province_id,province_name,region,zone_number,party_name,votes,vote_pct,rank,total_votes
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,คลองไทย,593,0.46,12,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ประชานิยม,538,0.41,13,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,แทนคุณแผ่นดิน,481,0.37,14,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,รวมพลังประชาชาติไทย,418,0.32,15,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,พลังชาติไทย,324,0.25,16,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ชาติไทยพัฒนา,298,0.23,17,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ประชาชนปฏิรูป,289,0.22,18,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,พลังธรรมใหม่,286,0.22,19,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,เพื่อแผ่นดิน,247,0.19,20,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ชาติพัฒนา,243,0.19,21,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,พลังศรัทธา,224,0.17,22,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,รักษ์ผืนป่าประเทศไทย,216,0.17,23,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,แผ่นดินธรรม,212,0.16,24,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ไทยศรีวิไลย์,205,0.16,25,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ความหวังใหม่,169,0.13,26,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ทางเลือกใหม่,160,0.12,27,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,กรีน,150,0.12,28,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,พลังไทยรักไทย,146,0.11,29,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ไทรักธรรม,110,0.08,30,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ประชาธรรมไทย,107,0.08,31,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ครูไทยเพื่อประชาชน,106,0.08,32,130062
